County ,County Code,Media Market,Newspaper,Year Code,Winner,Loser,endorsewin,countyid
Gadsen,20,Tallahassee,Tallahassee Democrat,2014,0,1,0,202014
Hamilton,24,Tallahassee,Tallahassee Democrat,2014,0,1,0,242014
Jefferson,33,Tallahassee,Tallahassee Democrat,2014,0,1,0,332014
Lafayette,34,Tallahassee,Tallahassee Democrat,2014,0,1,0,342014
Leon,37,Tallahassee,Tallahassee Democrat,2014,0,1,0,372014
Madison,40,Tallahassee,Tallahassee Democrat,2014,0,1,0,402014
Suwannee,61,Tallahassee,Tallahassee Democrat,2014,0,1,0,612014
Taylor,62,Tallahassee,Tallahassee Democrat,2014,0,1,0,622014
Wakulla,65,Tallahassee,Tallahassee Democrat,2014,0,1,0,652014
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,92014
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,252014
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,272014
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,282014
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,292014
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,412014
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,512014
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,522014
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,532014
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2014,0,1,0,562014
Alachua,1,Gainesville,The Gainesville Sun,2014,,,0,12014
Dixie,15,Gainesville,The Gainesville Sun,2014,,,0,152014
Gilchrist,21,Gainesville,The Gainesville Sun,2014,,,0,212014
Levy,38,Gainesville,The Gainesville Sun,2014,,,0,382014
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2014,0,1,0,62014
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2014,0,1,0,132014
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2014,0,1,0,442014
Bay ,3,Panama City,The News Herald,2014,,,0,32014
Calhoun,7,Panama City,The News Herald,2014,,,0,72014
Franklin,19,Panama City,The News Herald,2014,,,0,192014
Gulf,23,Panama City,The News Herald,2014,,,0,232014
Holmes,30,Panama City,The News Herald,2014,,,0,302014
Jackson,32,Panama City,The News Herald,2014,,,0,322014
Liberty,39,Panama City,The News Herald,2014,,,0,392014
Walton,66,Panama City,The News Herald,2014,,,0,662014
Washington,67,Panama City,The News Herald,2014,,,0,672014
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2014,0,1,0,312014
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2014,0,1,0,432014
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2014,0,1,0,472014
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2014,0,1,0,502014
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2014,0,1,0,592014
Baker,2,Jacksonville,Florida Times-Union,2012,0,1,0,22012
Bradford,4,Jacksonville,Florida Times-Union,2012,0,1,0,42012
Clay,10,Jacksonville,Florida Times-Union,2012,0,1,0,102012
Columbia,12,Jacksonville,Florida Times-Union,2012,0,1,0,122012
Duval,16,Jacksonville,Florida Times-Union,2012,0,1,0,162012
Nassau,45,Jacksonville,Florida Times-Union,2012,0,1,0,452012
Putnam,54,Jacksonville,Florida Times-Union,2012,0,1,0,542012
St. Johns,58,Jacksonville,Florida Times-Union,2012,0,1,0,582012
Union,63,Jacksonville,Florida Times-Union,2012,0,1,0,632012
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,82012
Collier,11,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,112012
De Soto,14,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,142012
Glades,22,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,222012
Hendry,26,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,262012
Lee,36,Ft. Myers/Naples,Naples Daily News,2012,0,1,0,362012
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,52012
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,182012
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,352012
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,422012
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,482012
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,492012
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,572012
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,602012
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2012,0,1,0,642012
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2012,0,1,0,172012
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2012,0,1,0,462012
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2012,0,1,0,552012
Gadsen,20,Tallahassee,Tallahassee Democrat,2012,,,0,202012
Hamilton,24,Tallahassee,Tallahassee Democrat,2012,,,0,242012
Jefferson,33,Tallahassee,Tallahassee Democrat,2012,,,0,332012
Lafayette,34,Tallahassee,Tallahassee Democrat,2012,,,0,342012
Leon,37,Tallahassee,Tallahassee Democrat,2012,,,0,372012
Madison,40,Tallahassee,Tallahassee Democrat,2012,,,0,402012
Suwannee,61,Tallahassee,Tallahassee Democrat,2012,,,0,612012
Taylor,62,Tallahassee,Tallahassee Democrat,2012,,,0,622012
Wakulla,65,Tallahassee,Tallahassee Democrat,2012,,,0,652012
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,92012
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,252012
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,272012
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,282012
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,292012
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,412012
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,512012
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,522012
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,532012
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2012,1,0,1,562012
Alachua,1,Gainesville,The Gainesville Sun,2012,,,0,12012
Dixie,15,Gainesville,The Gainesville Sun,2012,,,0,152012
Gilchrist,21,Gainesville,The Gainesville Sun,2012,,,0,212012
Levy,38,Gainesville,The Gainesville Sun,2012,,,0,382012
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2012,1,0,1,62012
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2012,1,0,1,132012
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2012,1,0,1,442012
Bay ,3,Panama City,The News Herald,2012,,,0,32012
Calhoun,7,Panama City,The News Herald,2012,,,0,72012
Franklin,19,Panama City,The News Herald,2012,,,0,192012
Gulf,23,Panama City,The News Herald,2012,,,0,232012
Holmes,30,Panama City,The News Herald,2012,,,0,302012
Jackson,32,Panama City,The News Herald,2012,,,0,322012
Liberty,39,Panama City,The News Herald,2012,,,0,392012
Walton,66,Panama City,The News Herald,2012,,,0,662012
Washington,67,Panama City,The News Herald,2012,,,0,672012
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2012,9,9,0,312012
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2012,9,9,0,432012
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2012,9,9,0,472012
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2012,9,9,0,502012
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2012,9,9,0,592012
Baker,2,Jacksonville,Florida Times-Union,2010,0,1,0,22010
Bradford,4,Jacksonville,Florida Times-Union,2010,0,1,0,42010
Clay,10,Jacksonville,Florida Times-Union,2010,0,1,0,102010
Columbia,12,Jacksonville,Florida Times-Union,2010,0,1,0,122010
Duval,16,Jacksonville,Florida Times-Union,2010,0,1,0,162010
Nassau,45,Jacksonville,Florida Times-Union,2010,0,1,0,452010
Putnam,54,Jacksonville,Florida Times-Union,2010,0,1,0,542010
St. Johns,58,Jacksonville,Florida Times-Union,2010,0,1,0,582010
Union,63,Jacksonville,Florida Times-Union,2010,0,1,0,632010
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,82010
Collier,11,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,112010
De Soto,14,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,142010
Glades,22,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,222010
Hendry,26,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,262010
Lee,36,Ft. Myers/Naples,Naples Daily News,2010,0,1,0,362010
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,52010
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,182010
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,352010
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,422010
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,482010
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,492010
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,572010
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,602010
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2010,0,1,0,642010
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2010,0,1,0,172010
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2010,0,1,0,462010
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2010,0,1,0,552010
Gadsen,20,Tallahassee,Tallahassee Democrat,2010,0,1,0,202010
Hamilton,24,Tallahassee,Tallahassee Democrat,2010,0,1,0,242010
Jefferson,33,Tallahassee,Tallahassee Democrat,2010,0,1,0,332010
Lafayette,34,Tallahassee,Tallahassee Democrat,2010,0,1,0,342010
Leon,37,Tallahassee,Tallahassee Democrat,2010,0,1,0,372010
Madison,40,Tallahassee,Tallahassee Democrat,2010,0,1,0,402010
Suwannee,61,Tallahassee,Tallahassee Democrat,2010,0,1,0,612010
Taylor,62,Tallahassee,Tallahassee Democrat,2010,0,1,0,622010
Wakulla,65,Tallahassee,Tallahassee Democrat,2010,0,1,0,652010
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,92010
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,252010
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,272010
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,282010
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,292010
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,412010
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,512010
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,522010
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,532010
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2010,0,1,0,562010
Alachua,1,Gainesville,The Gainesville Sun,2010,,,0,12010
Dixie,15,Gainesville,The Gainesville Sun,2010,,,0,152010
Gilchrist,21,Gainesville,The Gainesville Sun,2010,,,0,212010
Levy,38,Gainesville,The Gainesville Sun,2010,,,0,382010
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2010,0,1,0,62010
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2010,0,1,0,132010
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2010,0,1,0,442010
Bay ,3,Panama City,The News Herald,2010,,,0,32010
Calhoun,7,Panama City,The News Herald,2010,,,0,72010
Franklin,19,Panama City,The News Herald,2010,,,0,192010
Gulf,23,Panama City,The News Herald,2010,,,0,232010
Holmes,30,Panama City,The News Herald,2010,,,0,302010
Jackson,32,Panama City,The News Herald,2010,,,0,322010
Liberty,39,Panama City,The News Herald,2010,,,0,392010
Walton,66,Panama City,The News Herald,2010,,,0,662010
Washington,67,Panama City,The News Herald,2010,,,0,672010
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2010,0,1,0,312010
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2010,0,1,0,432010
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2010,0,1,0,472010
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2010,0,1,0,502010
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2010,0,1,0,592010
Baker,2,Jacksonville,Florida Times-Union,2008,9,9,0,22008
Bradford,4,Jacksonville,Florida Times-Union,2008,9,9,0,42008
Clay,10,Jacksonville,Florida Times-Union,2008,9,9,0,102008
Columbia,12,Jacksonville,Florida Times-Union,2008,9,9,0,122008
Duval,16,Jacksonville,Florida Times-Union,2008,9,9,0,162008
Nassau,45,Jacksonville,Florida Times-Union,2008,9,9,0,452008
Putnam,54,Jacksonville,Florida Times-Union,2008,9,9,0,542008
St. Johns,58,Jacksonville,Florida Times-Union,2008,9,9,0,582008
Union,63,Jacksonville,Florida Times-Union,2008,9,9,0,632008
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,82008
Collier,11,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,112008
De Soto,14,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,142008
Glades,22,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,222008
Hendry,26,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,262008
Lee,36,Ft. Myers/Naples,Naples Daily News,2008,1,0,1,362008
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,52008
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,182008
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,352008
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,422008
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,482008
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,492008
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,572008
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,602008
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2008,1,0,1,642008
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2008,1,0,1,172008
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2008,1,0,1,462008
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2008,1,0,1,552008
Gadsen,20,Tallahassee,Tallahassee Democrat,2008,,,0,202008
Hamilton,24,Tallahassee,Tallahassee Democrat,2008,,,0,242008
Jefferson,33,Tallahassee,Tallahassee Democrat,2008,,,0,332008
Lafayette,34,Tallahassee,Tallahassee Democrat,2008,,,0,342008
Leon,37,Tallahassee,Tallahassee Democrat,2008,,,0,372008
Madison,40,Tallahassee,Tallahassee Democrat,2008,,,0,402008
Suwannee,61,Tallahassee,Tallahassee Democrat,2008,,,0,612008
Taylor,62,Tallahassee,Tallahassee Democrat,2008,,,0,622008
Wakulla,65,Tallahassee,Tallahassee Democrat,2008,,,0,652008
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,92008
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,252008
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,272008
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,282008
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,292008
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,412008
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,512008
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,522008
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,532008
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2008,1,0,1,562008
Alachua,1,Gainesville,The Gainesville Sun,2008,1,0,1,12008
Dixie,15,Gainesville,The Gainesville Sun,2008,1,0,1,152008
Gilchrist,21,Gainesville,The Gainesville Sun,2008,1,0,1,212008
Levy,38,Gainesville,The Gainesville Sun,2008,1,0,1,382008
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2008,1,0,1,62008
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2008,1,0,1,132008
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2008,1,0,1,442008
Bay ,3,Panama City,The News Herald,2008,,,0,32008
Calhoun,7,Panama City,The News Herald,2008,,,0,72008
Franklin,19,Panama City,The News Herald,2008,,,0,192008
Gulf,23,Panama City,The News Herald,2008,,,0,232008
Holmes,30,Panama City,The News Herald,2008,,,0,302008
Jackson,32,Panama City,The News Herald,2008,,,0,322008
Liberty,39,Panama City,The News Herald,2008,,,0,392008
Walton,66,Panama City,The News Herald,2008,,,0,662008
Washington,67,Panama City,The News Herald,2008,,,0,672008
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2008,1,0,1,312008
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2008,1,0,1,432008
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2008,1,0,1,472008
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2008,1,0,1,502008
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2008,1,0,1,592008
Baker,2,Jacksonville,Florida Times-Union,2006,1,0,1,22006
Bradford,4,Jacksonville,Florida Times-Union,2006,1,0,1,42006
Clay,10,Jacksonville,Florida Times-Union,2006,1,0,1,102006
Columbia,12,Jacksonville,Florida Times-Union,2006,1,0,1,122006
Duval,16,Jacksonville,Florida Times-Union,2006,1,0,1,162006
Nassau,45,Jacksonville,Florida Times-Union,2006,1,0,1,452006
Putnam,54,Jacksonville,Florida Times-Union,2006,1,0,1,542006
St. Johns,58,Jacksonville,Florida Times-Union,2006,1,0,1,582006
Union,63,Jacksonville,Florida Times-Union,2006,1,0,1,632006
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,82006
Collier,11,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,112006
De Soto,14,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,142006
Glades,22,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,222006
Hendry,26,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,262006
Lee,36,Ft. Myers/Naples,Naples Daily News,2006,1,0,1,362006
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,52006
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,182006
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,352006
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,422006
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,482006
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,492006
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,572006
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,602006
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2006,1,0,1,642006
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2006,,,0,172006
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2006,,,0,462006
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2006,,,0,552006
Gadsen,20,Tallahassee,Tallahassee Democrat,2006,,,0,202006
Hamilton,24,Tallahassee,Tallahassee Democrat,2006,1,0,1,242006
Jefferson,33,Tallahassee,Tallahassee Democrat,2006,1,0,1,332006
Lafayette,34,Tallahassee,Tallahassee Democrat,2006,1,0,1,342006
Leon,37,Tallahassee,Tallahassee Democrat,2006,1,0,1,372006
Madison,40,Tallahassee,Tallahassee Democrat,2006,1,0,1,402006
Suwannee,61,Tallahassee,Tallahassee Democrat,2006,1,0,1,612006
Taylor,62,Tallahassee,Tallahassee Democrat,2006,1,0,1,622006
Wakulla,65,Tallahassee,Tallahassee Democrat,2006,1,0,1,652006
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,92006
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,252006
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,272006
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,282006
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,292006
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,412006
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,512006
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,522006
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,532006
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2006,0,1,0,562006
Alachua,1,Gainesville,The Gainesville Sun,2006,0,1,0,12006
Dixie,15,Gainesville,The Gainesville Sun,2006,0,1,0,152006
Gilchrist,21,Gainesville,The Gainesville Sun,2006,0,1,0,212006
Levy,38,Gainesville,The Gainesville Sun,2006,0,1,0,382006
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2006,1,0,1,62006
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2006,1,0,1,132006
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2006,1,0,1,442006
Bay ,3,Panama City,The News Herald,2006,,,0,32006
Calhoun,7,Panama City,The News Herald,2006,,,0,72006
Franklin,19,Panama City,The News Herald,2006,,,0,192006
Gulf,23,Panama City,The News Herald,2006,,,0,232006
Holmes,30,Panama City,The News Herald,2006,,,0,302006
Jackson,32,Panama City,The News Herald,2006,,,0,322006
Liberty,39,Panama City,The News Herald,2006,,,0,392006
Walton,66,Panama City,The News Herald,2006,,,0,662006
Washington,67,Panama City,The News Herald,2006,,,0,672006
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2006,0,1,0,312006
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2006,0,1,0,432006
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2006,0,1,0,472006
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2006,0,1,0,502006
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2006,0,1,0,592006
Baker,2,Jacksonville,Florida Times-Union,2004,1,0,1,22004
Bradford,4,Jacksonville,Florida Times-Union,2004,1,0,1,42004
Clay,10,Jacksonville,Florida Times-Union,2004,1,0,1,102004
Columbia,12,Jacksonville,Florida Times-Union,2004,1,0,1,122004
Duval,16,Jacksonville,Florida Times-Union,2004,1,0,1,162004
Nassau,45,Jacksonville,Florida Times-Union,2004,1,0,1,452004
Putnam,54,Jacksonville,Florida Times-Union,2004,1,0,1,542004
St. Johns,58,Jacksonville,Florida Times-Union,2004,1,0,1,582004
Union,63,Jacksonville,Florida Times-Union,2004,1,0,1,632004
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,82004
Collier,11,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,112004
De Soto,14,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,142004
Glades,22,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,222004
Hendry,26,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,262004
Lee,36,Ft. Myers/Naples,Naples Daily News,2004,1,0,1,362004
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2004,0,1,0,52004
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2004,0,1,0,182004
